Category,Average Minimum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Maximum Surface Air Temperature (°C),Precipitation (mm)
Jan,18.05,22.73,27.47,84.16
Feb,18.07,23.39,28.76,49.44
Mar,18.83,24.67,30.56,37.61
Apr,20.24,25.82,31.44,48.7
May,21.13,26.25,31.41,176.06
Jun,21.31,25.75,30.24,257.68
Jul,20.98,25.34,29.74,219.67
Aug,20.96,25.53,30.14,215.38
Sep,20.86,25.41,30.0,245.77
Oct,20.43,24.78,29.19,251.88
Nov,19.27,23.59,27.96,163.19
Dec,18.77,23.17,27.62,109.05
